user_id,email,country,signup_date,user_status
U1020,user1020@nvidia.com,DE,2023-04-29 18:21:48.923759,Suspended
U1210,user1210@nvidia.com,AU,2024-04-17 18:21:48.923776,Suspended
U1238,user1238@nvidia.com,UK,2023-08-27 18:21:48.923779,Suspended
U1418,user1418@nvidia.com,AU,2022-12-07 18:21:48.923781,Active
U1809,user1809@nvidia.com,DE,2025-02-15 18:21:48.923783,Active
U1155,user1155@nvidia.com,DE,2025-01-05 18:21:48.923785,Suspended
U1942,user1942@nvidia.com,DE,2024-04-19 18:21:48.923787,Suspended
U1073,user1073@nvidia.com,UK,2025-03-09 18:21:48.923790,Suspended
U1024,user1024@nvidia.com,AU,2023-05-09 18:21:48.923794,Active
U1280,user1280@nvidia.com,UK,2023-08-27 18:21:48.923796,Suspended
U1317,user1317@nvidia.com,AU,2024-08-15 18:21:48.923798,Suspended
U1629,user1629@nvidia.com,IN,2024-10-08 18:21:48.923800,Suspended
U1431,user1431@nvidia.com,DE,2023-09-30 18:21:48.923802,Suspended
U1627,user1627@nvidia.com,UK,2025-04-05 18:21:48.923804,Suspended
U1490,user1490@nvidia.com,IN,2024-02-01 18:21:48.923807,Suspended
U1324,user1324@nvidia.com,IN,2023-05-08 18:21:48.923809,Suspended
U1244,user1244@nvidia.com,UK,2023-06-30 18:21:48.923810,Suspended
U1821,user1821@nvidia.com,DE,2024-11-13 18:21:48.923813,Active
U1137,user1137@nvidia.com,US,2024-06-15 18:21:48.923815,Suspended
U1718,user1718@nvidia.com,DE,2023-12-09 18:21:48.923817,Suspended
U1370,user1370@nvidia.com,DE,2023-02-15 18:21:48.923819,Active
U1407,user1407@nvidia.com,AU,2023-03-23 18:21:48.923821,Suspended
U1473,user1473@nvidia.com,US,2023-12-18 18:21:48.923823,Suspended
U1763,user1763@nvidia.com,US,2023-05-09 18:21:48.923824,Active
U1514,user1514@nvidia.com,DE,2025-01-11 18:21:48.923826,Suspended
U1083,user1083@nvidia.com,DE,2025-02-07 18:21:48.923828,Suspended
U1702,user1702@nvidia.com,US,2022-11-03 18:21:48.923830,Active
U1731,user1731@nvidia.com,UK,2023-12-02 18:21:48.923832,Suspended
U1991,user1991@nvidia.com,IN,2024-01-03 18:21:48.923834,Active
U1582,user1582@nvidia.com,AU,2023-08-27 18:21:48.923836,Active
U1373,user1373@nvidia.com,UK,2024-09-13 18:21:48.923838,Suspended
U1376,user1376@nvidia.com,UK,2023-08-21 18:21:48.923840,Suspended
U1830,user1830@nvidia.com,DE,2025-01-03 18:21:48.923842,Active
U1399,user1399@nvidia.com,IN,2024-09-18 18:21:48.923844,Suspended
U1159,user1159@nvidia.com,IN,2023-06-02 18:21:48.923846,Active
U1096,user1096@nvidia.com,UK,2023-12-22 18:21:48.923847,Suspended
U1603,user1603@nvidia.com,UK,2025-02-05 18:21:48.923849,Active
U1989,user1989@nvidia.com,US,2025-04-12 18:21:48.923851,Suspended
U1597,user1597@nvidia.com,DE,2023-02-08 18:21:48.923853,Suspended
U1735,user1735@nvidia.com,DE,2025-02-22 18:21:48.923855,Active
U1777,user1777@nvidia.com,UK,2024-06-14 18:21:48.923857,Active
U1953,user1953@nvidia.com,UK,2023-07-11 18:21:48.923859,Active
U1319,user1319@nvidia.com,UK,2023-03-22 18:21:48.923861,Suspended
U1564,user1564@nvidia.com,US,2022-10-11 18:21:48.923863,Suspended
U1555,user1555@nvidia.com,US,2024-07-03 18:21:48.923865,Suspended
U1796,user1796@nvidia.com,US,2022-10-12 18:21:48.923867,Active
U1040,user1040@nvidia.com,DE,2024-12-28 18:21:48.923868,Suspended
U1004,user1004@nvidia.com,IN,2024-12-05 18:21:48.923871,Suspended
U1025,user1025@nvidia.com,US,2022-12-10 18:21:48.923873,Active
U1811,user1811@nvidia.com,US,2023-02-21 18:21:48.923875,Suspended
U1147,user1147@nvidia.com,US,2024-08-19 18:21:48.923877,Suspended
U1760,user1760@nvidia.com,DE,2022-09-30 18:21:48.923879,Suspended
U1849,user1849@nvidia.com,AU,2024-08-20 18:21:48.923881,Active
U1880,user1880@nvidia.com,US,2024-06-18 18:21:48.923883,Suspended
U1659,user1659@nvidia.com,UK,2023-12-30 18:21:48.923885,Active
U1194,user1194@nvidia.com,IN,2023-09-10 18:21:48.923886,Suspended
U1511,user1511@nvidia.com,IN,2023-10-20 18:21:48.923888,Suspended
U1325,user1325@nvidia.com,IN,2022-10-25 18:21:48.923890,Suspended
U1270,user1270@nvidia.com,UK,2024-11-25 18:21:48.923892,Suspended
U1173,user1173@nvidia.com,DE,2022-10-29 18:21:48.923894,Suspended
U1232,user1232@nvidia.com,AU,2025-03-10 18:21:48.923896,Active
U1641,user1641@nvidia.com,UK,2023-05-07 18:21:48.923897,Active
U1208,user1208@nvidia.com,AU,2023-01-21 18:21:48.923899,Active
U1267,user1267@nvidia.com,UK,2024-09-01 18:21:48.923901,Suspended
U1927,user1927@nvidia.com,US,2023-05-22 18:21:48.923903,Active
U1254,user1254@nvidia.com,AU,2023-02-05 18:21:48.923905,Suspended
U1993,user1993@nvidia.com,UK,2025-01-29 18:21:48.923907,Suspended
U1949,user1949@nvidia.com,DE,2024-04-15 18:21:48.923909,Active
U1670,user1670@nvidia.com,AU,2024-11-04 18:21:48.923910,Active
